IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.208.38,2087,TRUE,SIN,Asia Pacific,Singapore,81 ms,27724 kB/s
8.219.4.122,2087,TRUE,SIN,Asia Pacific,Singapore,79 ms,27563 kB/s
8.219.78.1,2087,TRUE,SIN,Asia Pacific,Singapore,73 ms,27159 kB/s
8.219.174.142,2087,TRUE,SIN,Asia Pacific,Singapore,68 ms,27115 kB/s
8.222.193.65,2087,TRUE,SIN,Asia Pacific,Singapore,77 ms,26226 kB/s
8.219.237.250,2087,TRUE,SIN,Asia Pacific,Singapore,76 ms,25699 kB/s
8.219.51.211,2087,TRUE,SIN,Asia Pacific,Singapore,73 ms,25089 kB/s
8.219.210.64,2087,TRUE,SIN,Asia Pacific,Singapore,73 ms,25068 kB/s
8.219.124.227,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,24458 kB/s
8.219.78.1,2087,TRUE,SIN,Asia Pacific,Singapore,74 ms,24440 kB/s
8.222.208.38,2087,TRUE,SIN,Asia Pacific,Singapore,90 ms,23364 kB/s
8.219.198.139,2087,TRUE,SIN,Asia Pacific,Singapore,84 ms,23217 kB/s
8.219.67.133,2087,TRUE,SIN,Asia Pacific,Singapore,76 ms,23205 kB/s
8.219.174.142,2087,TRUE,SIN,Asia Pacific,Singapore,73 ms,23116 kB/s
8.219.50.180,2087,TRUE,SIN,Asia Pacific,Singapore,81 ms,22871 kB/s
8.219.4.122,2087,TRUE,SIN,Asia Pacific,Singapore,78 ms,22864 kB/s
8.219.126.240,2087,TRUE,SIN,Asia Pacific,Singapore,85 ms,22569 kB/s
8.222.164.209,2087,TRUE,SIN,Asia Pacific,Singapore,69 ms,22522 kB/s
8.222.181.117,2087,TRUE,SIN,Asia Pacific,Singapore,70 ms,22363 kB/s
8.219.240.160,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,22340 kB/s
8.219.248.47,2087,TRUE,SIN,Asia Pacific,Singapore,81 ms,21802 kB/s
8.219.161.129,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,21786 kB/s
8.222.181.117,2087,TRUE,SIN,Asia Pacific,Singapore,84 ms,21753 kB/s
47.236.130.95,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,21550 kB/s
8.219.111.147,2087,TRUE,SIN,Asia Pacific,Singapore,70 ms,21451 kB/s
8.219.106.156,2087,TRUE,SIN,Asia Pacific,Singapore,70 ms,21007 kB/s
8.219.60.54,2087,TRUE,SIN,Asia Pacific,Singapore,74 ms,20343 kB/s
8.219.98.13,2087,TRUE,SIN,Asia Pacific,Singapore,77 ms,20335 kB/s
8.222.164.209,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,19894 kB/s
8.219.51.211,2087,TRUE,SIN,Asia Pacific,Singapore,77 ms,19707 kB/s
8.219.124.227,2087,TRUE,SIN,Asia Pacific,Singapore,65 ms,19498 kB/s
8.219.126.240,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,19482 kB/s
8.219.210.64,2087,TRUE,SIN,Asia Pacific,Singapore,87 ms,19406 kB/s
8.219.111.147,2087,TRUE,SIN,Asia Pacific,Singapore,78 ms,19026 kB/s
8.219.106.156,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,18950 kB/s
8.219.0.162,2087,TRUE,SIN,Asia Pacific,Singapore,77 ms,18879 kB/s
8.219.248.47,2087,TRUE,SIN,Asia Pacific,Singapore,80 ms,18808 kB/s
8.219.237.250,2087,TRUE,SIN,Asia Pacific,Singapore,76 ms,18738 kB/s
47.236.130.95,2087,TRUE,SIN,Asia Pacific,Singapore,79 ms,18598 kB/s
8.219.114.201,2087,TRUE,SIN,Asia Pacific,Singapore,73 ms,18531 kB/s
8.219.0.162,2087,TRUE,SIN,Asia Pacific,Singapore,67 ms,18476 kB/s
8.219.198.139,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,18106 kB/s
8.219.114.201,2087,TRUE,SIN,Asia Pacific,Singapore,85 ms,16960 kB/s
8.219.161.129,2087,TRUE,SIN,Asia Pacific,Singapore,71 ms,16866 kB/s
8.219.170.232,2087,TRUE,SIN,Asia Pacific,Singapore,69 ms,15591 kB/s
8.219.170.232,2087,TRUE,SIN,Asia Pacific,Singapore,90 ms,15506 kB/s
8.219.67.133,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,13817 kB/s
8.219.60.54,2087,TRUE,SIN,Asia Pacific,Singapore,70 ms,13397 kB/s
8.222.137.192,2087,TRUE,SIN,Asia Pacific,Singapore,69 ms,13093 kB/s
8.219.98.13,2087,TRUE,SIN,Asia Pacific,Singapore,79 ms,12807 kB/s
8.219.50.180,2087,TRUE,SIN,Asia Pacific,Singapore,79 ms,12595 kB/s
8.219.222.98,2087,TRUE,SIN,Asia Pacific,Singapore,74 ms,11895 kB/s
8.219.222.98,2087,TRUE,SIN,Asia Pacific,Singapore,79 ms,11317 kB/s
8.222.193.65,2087,TRUE,SIN,Asia Pacific,Singapore,79 ms,11046 kB/s
8.222.137.192,2087,TRUE,SIN,Asia Pacific,Singapore,74 ms,10344 kB/s
