IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.74.4.97,443,true,NRT,Asia Pacific,Tokyo,40 ms,16106 kB/s
8.217.132.184,443,true,HKG,Asia Pacific,Hong Kong,40 ms,11963 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,167 ms,8076 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,202 ms,7717 kB/s
192.18.134.22,443,true,SJC,North America,San Jose,172 ms,7668 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,168 ms,7544 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,232 ms,6487 kB/s
168.138.13.201,443,true,MEL,Oceania,Melbourne,172 ms,6482 kB/s
158.180.231.216,443,true,MRS,Europe,Marseille,202 ms,6447 kB/s
192.18.148.248,443,true,YYZ,North America,Toronto,247 ms,6310 kB/s
168.138.162.187,443,true,SIN,Asia Pacific,Singapore,241 ms,6285 kB/s
47.253.56.77,443,true,IAD,North America,Ashburn,258 ms,6269 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,161 ms,6233 kB/s
152.70.117.136,443,true,SJC,North America,San Jose,190 ms,5961 kB/s
143.47.190.84,443,true,FRA,Europe,Frankfurt,251 ms,5819 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,276 ms,5631 kB/s
152.69.178.16,443,true,MEL,Oceania,Melbourne,169 ms,5614 kB/s
132.145.82.137,443,true,ICN,Asia Pacific,Seoul,53 ms,5546 kB/s
132.145.54.92,443,true,LHR,Europe,London,264 ms,5518 kB/s
192.9.172.26,443,true,SYD,Oceania,Sydney,169 ms,5349 kB/s
141.144.201.13,443,true,FRA,Europe,Frankfurt,273 ms,5349 kB/s
138.2.104.102,443,true,SIN,Asia Pacific,Singapore,236 ms,5108 kB/s
193.123.62.163,443,true,FRA,Europe,Frankfurt,391 ms,5012 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,213 ms,4663 kB/s
193.123.63.54,443,true,FRA,Europe,Frankfurt,360 ms,4392 kB/s
143.47.251.251,443,true,FRA,Europe,Frankfurt,251 ms,4276 kB/s
152.70.62.200,443,true,FRA,Europe,Frankfurt,388 ms,4209 kB/s
8.209.84.128,443,true,FRA,Europe,Frankfurt,432 ms,3960 kB/s
47.253.105.131,443,true,IAD,North America,Ashburn,250 ms,3952 kB/s
144.22.252.124,443,true,GRU,South America,S?o Paulo,364 ms,3636 kB/s
143.47.178.189,443,true,FRA,Europe,Frankfurt,159 ms,3562 kB/s
141.147.43.93,443,true,FRA,Europe,Frankfurt,251 ms,3291 kB/s
132.145.134.230,443,true,IAD,North America,Ashburn,255 ms,3173 kB/s
158.101.218.199,443,true,FRA,Europe,Frankfurt,252 ms,2628 kB/s
129.154.49.145,443,true,SIN,Asia Pacific,Singapore,120 ms,2547 kB/s
8.209.124.201,443,true,FRA,Europe,Frankfurt,255 ms,2496 kB/s
138.2.141.139,443,true,FRA,Europe,Frankfurt,252 ms,2399 kB/s
130.61.83.37,443,true,FRA,Europe,Frankfurt,224 ms,2066 kB/s
141.147.19.22,443,true,FRA,Europe,Frankfurt,395 ms,1953 kB/s
130.162.168.82,443,true,FRA,Europe,Frankfurt,251 ms,1571 kB/s
150.230.214.95,443,true,SIN,Asia Pacific,Singapore,145 ms,1381 kB/s
144.24.161.86,443,true,FRA,Europe,Frankfurt,391 ms,916 kB/s
138.2.130.206,443,true,FRA,Europe,Frankfurt,252 ms,900 kB/s
150.230.147.180,443,true,FRA,Europe,Frankfurt,247 ms,823 kB/s
130.61.114.171,443,true,FRA,Europe,Frankfurt,397 ms,751 kB/s
141.147.58.87,443,true,FRA,Europe,Frankfurt,268 ms,651 kB/s
141.147.107.29,443,true,FRA,Europe,Frankfurt,274 ms,640 kB/s
141.147.45.51,443,true,FRA,Europe,Frankfurt,249 ms,614 kB/s
143.47.188.240,443,true,FRA,Europe,Frankfurt,400 ms,601 kB/s
141.147.99.130,443,true,FRA,Europe,Frankfurt,393 ms,552 kB/s
141.147.37.206,443,true,FRA,Europe,Frankfurt,254 ms,525 kB/s
141.147.107.52,443,true,FRA,Europe,Frankfurt,385 ms,496 kB/s
132.145.14.146,443,true,FRA,Europe,Frankfurt,181 ms,450 kB/s
143.47.177.86,443,true,FRA,Europe,Frankfurt,323 ms,445 kB/s
129.159.255.134,443,true,FRA,Europe,Frankfurt,330 ms,426 kB/s
150.230.122.97,443,true,FRA,Europe,Frankfurt,169 ms,416 kB/s
138.2.151.161,443,true,FRA,Europe,Frankfurt,259 ms,395 kB/s
132.145.12.99,443,true,FRA,Europe,Frankfurt,258 ms,386 kB/s
8.209.73.5,443,true,FRA,Europe,Frankfurt,249 ms,363 kB/s
155.248.172.118,443,true,SIN,Asia Pacific,Singapore,234 ms,352 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,251 ms,352 kB/s
141.147.97.236,443,true,FRA,Europe,Frankfurt,252 ms,334 kB/s
130.61.66.81,443,true,FRA,Europe,Frankfurt,259 ms,275 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,237 ms,265 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,115 ms,256 kB/s
141.144.232.159,443,true,FRA,Europe,Frankfurt,165 ms,226 kB/s
130.61.185.98,443,true,FRA,Europe,Frankfurt,250 ms,188 kB/s
144.21.56.173,443,true,FRA,Europe,Frankfurt,251 ms,154 kB/s
141.147.147.28,443,true,KIX,Asia Pacific,Osaka,95 ms,152 kB/s
158.101.164.251,443,true,FRA,Europe,Frankfurt,304 ms,142 kB/s
141.148.239.203,443,true,FRA,Europe,Frankfurt,242 ms,134 kB/s
141.148.241.239,443,true,FRA,Europe,Frankfurt,239 ms,129 kB/s
138.2.133.184,443,true,FRA,Europe,Frankfurt,372 ms,122 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,217 ms,93 kB/s
141.148.225.142,443,true,AMS,Europe,Amsterdam,167 ms,73 kB/s
168.138.177.109,443,true,SIN,Asia Pacific,Singapore,268 ms,1 kB/s
152.69.219.32,443,true,SIN,Asia Pacific,Singapore,75 ms,0 kB/s
140.238.201.118,443,true,SYD,Oceania,Sydney,165 ms,0 kB/s
168.138.15.75,443,true,MEL,Oceania,Melbourne,177 ms,0 kB/s
138.2.75.91,443,true,SIN,Asia Pacific,Singapore,228 ms,0 kB/s
152.67.190.105,443,true,HYD,Asia Pacific,Hyderabad,294 ms,0 kB/s
150.230.131.104,443,true,HYD,Asia Pacific,Hyderabad,314 ms,0 kB/s
129.154.50.220,443,true,ICN,Asia Pacific,Seoul,95 ms,0 kB/s
47.254.128.100,443,true,FRA,Europe,Frankfurt,255 ms,0 kB/s
146.56.146.67,443,true,NRT,Asia Pacific,Tokyo,79 ms,0 kB/s
138.2.158.117,443,true,FRA,Europe,Frankfurt,264 ms,0 kB/s
141.144.253.109,443,true,FRA,Europe,Frankfurt,218 ms,0 kB/s
130.162.234.13,443,true,FRA,Europe,Frankfurt,279 ms,0 kB/s
144.21.33.87,443,true,FRA,Europe,Frankfurt,381 ms,0 kB/s
141.147.113.200,443,true,FRA,Europe,Frankfurt,249 ms,0 kB/s
193.123.62.123,443,true,FRA,Europe,Frankfurt,256 ms,0 kB/s
152.67.149.163,443,true,FRA,Europe,Frankfurt,397 ms,0 kB/s
152.70.166.114,443,true,FRA,Europe,Frankfurt,252 ms,0 kB/s
141.148.242.202,443,true,FRA,Europe,Frankfurt,166 ms,0 kB/s
129.159.47.255,443,true,SJC,North America,San Jose,191 ms,0 kB/s
138.3.222.135,443,true,NRT,Asia Pacific,Tokyo,185 ms,0 kB/s
130.162.174.138,443,true,FRA,Europe,Frankfurt,266 ms,0 kB/s
158.101.202.114,443,true,AMS,Europe,Amsterdam,326 ms,0 kB/s
144.21.34.43,443,true,FRA,Europe,Frankfurt,334 ms,0 kB/s
143.47.253.179,443,true,FRA,Europe,Frankfurt,275 ms,0 kB/s
47.254.131.24,443,true,FRA,Europe,Frankfurt,322 ms,0 kB/s
143.47.241.83,443,true,FRA,Europe,Frankfurt,158 ms,0 kB/s
150.230.149.208,443,true,FRA,Europe,Frankfurt,249 ms,0 kB/s
